stim,response,hint,spacebar
3,0,white,gray
7,0,white,gray
5,0,white,gray
9,0,white,gray
2,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
1,0,white,gray
6,0,white,gray
5,0,white,gray
2,0,white,gray
4,0,white,gray
8,0,white,gray
7,0,white,gray
8,0,white,gray
7,0,white,gray
5,0,white,gray
4,0,white,gray
6,0,white,gray
5,0,white,gray
9,0,white,gray
1,0,white,gray
6,0,white,gray
1,0,white,gray
3,0,white,gray
9,0,white,gray
5,0,white,gray
1,0,white,gray
5,0,white,gray
2,0,white,gray
4,0,white,gray
8,0,white,gray
5,0,white,gray
9,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
5,0,white,gray
6,0,white,gray
8,0,white,gray
5,0,white,gray
4,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
2,0,white,gray
3,0,white,gray
7,0,white,gray
8,0,white,gray
4,0,white,gray
6,0,white,gray
5,0,white,gray
1,0,white,gray
8,0,white,gray
9,0,white,gray
3,0,white,gray
5,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
8,0,white,gray
2,0,white,gray
8,0,white,gray
9,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
9,0,white,gray
2,0,white,gray
3,0,white,gray
9,0,white,gray
8,0,white,gray
3,0,white,gray
6,0,white,gray
5,0,white,gray
9,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
5,0,white,gray
3,0,white,gray
6,0,white,gray
4,0,green,gray
6,0,green,gray
8,1,green,white
9,0,white,gray
6,0,white,gray
4,0,white,gray
7,0,white,gray
3,0,white,gray
6,0,white,gray
9,0,white,gray
5,0,white,gray
3,0,white,gray
9,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
5,0,white,gray
6,0,white,gray
7,0,white,gray
6,0,white,gray
5,0,white,gray
7,0,white,gray
8,0,white,gray
5,0,white,gray
9,0,white,gray
6,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
3,0,white,gray
4,0,white,gray
3,0,white,gray
4,0,white,gray
5,0,white,gray
8,0,white,gray
2,0,white,gray
9,0,white,gray
2,0,green,gray
4,0,green,gray
6,1,green,white
4,0,white,gray
5,0,white,gray
8,0,white,gray
2,0,white,gray
7,0,white,gray
6,0,white,gray
5,0,white,gray
9,0,white,gray
2,0,green,gray
4,0,green,gray
6,1,green,white
7,0,white,gray
1,0,white,gray
5,0,white,gray
8,0,white,gray
7,0,white,gray
4,0,white,gray
2,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
9,0,white,gray
2,0,white,gray
8,0,white,gray
7,0,white,gray
2,0,white,gray
7,0,white,gray
1,0,white,gray
6,0,white,gray
7,0,white,gray
9,0,white,gray
3,0,green,gray
5,0,green,gray
7,1,green,white
4,0,white,gray
8,0,white,gray
6,0,white,gray
9,0,white,gray
7,0,white,gray
5,0,white,gray
6,0,white,gray
5,0,white,gray
6,0,white,gray
2,0,green,gray
4,0,green,gray
6,1,green,white
4,0,white,gray
5,0,white,gray
6,0,white,gray
1,0,white,gray
8,0,white,gray
1,0,white,gray
7,0,white,gray
4,0,green,gray
6,0,green,gray
8,1,green,white
4,0,white,gray
9,0,white,gray
2,0,white,gray
1,0,white,gray
3,0,white,gray
2,0,white,gray
6,0,white,gray
3,0,white,gray
2,0,white,gray
5,0,white,gray
3,0,white,gray
5,0,white,gray
2,0,green,gray
4,0,green,gray
6,1,green,white
1,0,white,gray
4,0,white,gray
8,0,white,gray
7,0,white,gray
8,0,white,gray
4,0,white,gray
8,0,white,gray
